CID_pubchem,drug_name,DDInterIDs,joined_to_ddinter,display_name
5514,"(2,2,7,7-Tetramethyltetrahydro-2H,3aH,7H-bis(1,3)dioxolo(4,5-b:4',5'-d)pyran-3a-yl)methyl sulfamate",,no,
5515,"10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",,no,
5523,2-((Dimethylamino)methyl)-1-(3-methoxyphenyl)cyclohexanol,DDInter1841,yes,Tramadol
5530,Tranylcypromine,DDInter1845,yes,
5533,Trazodone,DDInter1851,yes,Trazodone
5538,"3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid",,no,
5544,Mycolog,,no,
5556,Triazolam,DDInter1860,yes,Triazolam
5578,Trimethoprim,DDInter1874,yes,Trimethoprim
5584,Trimipramine,DDInter1876,yes,Trimipramine
5596,Trosec,,no,
5645,Tauroursodiol,,no,
5647,,,no,
5650,"N-(1-Oxopentyl)-N-((2'-(2H-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)methyl)valine",,no,
