CID_A,drug_A,CID_B,drug_B,enzyme_gene,direction,severity,DB_A,DB_B,drugbank_hard_proven
2162,Amlodipine,60198,Exemestane,CYP3A4,inhibition,Unknown,DB00381,DB00990,No
2764,Ciprofloxacin,3899,Leflunomide,CYP1A2,inhibition,Unknown,DB00537,DB01097,No
3365,Fluconazole,3385,5-Fluorouracil,CYP2C9,inhibition,Unknown,DB00196,DB00544,No
2907,Cyclophosphamide,3488,Glibenclamide,CYP3A4,inhibition,Moderate,DB00531,DB01016,No
2907,Cyclophosphamide,3488,Glibenclamide,CYP3A4,induction,Moderate,DB00531,DB01016,No
2907,Cyclophosphamide,3488,Glibenclamide,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00531,DB01016,No
2662,Celecoxib,3676,Lidocaine,CYP3A4,inhibition,Unknown,DB00482,DB00281,No
5291,Imatinib,5732,Zolpidem,CYP3A4,inhibition,Moderate,DB00619,DB00425,No
2520,Verapamil,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00661,DB01101,No
2118,Alprazolam,3385,5-Fluorouracil,CYP2C9,inhibition,Unknown,DB00404,DB00544,No
5426,Thalidomide,54454,Simvastatin,CYP2C9,inhibition,Moderate,DB01041,DB00641,No
5426,Thalidomide,54454,Simvastatin,CYP2C9,induction,Moderate,DB01041,DB00641,No
2662,Celecoxib,3899,Leflunomide,CYP2C9,inhibition,Major,DB00482,DB01097,No
2244,Aspirin,216326,Lenalidomide,PTGS2,inhibition,Unknown,DB00945,DB00480,No
2907,Cyclophosphamide,71616,Voriconazole,CYP3A4,induction,Unknown,DB00531,DB00582,No
2907,Cyclophosphamide,71616,Voriconazole,CYP3A4,inhibition,Unknown,DB00531,DB00582,No
2907,Cyclophosphamide,4679,Pantoprazole,CYP2C9,inhibition,Unknown,DB00531,DB00213,No
2907,Cyclophosphamide,4679,Pantoprazole,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00213,No
2907,Cyclophosphamide,4679,Pantoprazole,CYP3A4,induction,Unknown,DB00531,DB00213,No
3899,Leflunomide,4946,Propranolol,CYP1A2,inhibition,Unknown,DB01097,DB00571,No
4212,Mitoxantrone,71616,Voriconazole,CYP3A4,inhibition,Unknown,DB01204,DB00582,No
3308,Etodolac,3899,Leflunomide,CYP2C9,inhibition,Major,DB00749,DB01097,No
2162,Amlodipine,3902,Letrozole,CYP2A6,inhibition,Unknown,DB00381,DB01006,No
3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00222,DB01101,No
2187,Anastrozole,3385,5-Fluorouracil,CYP2C9,inhibition,Unknown,DB01217,DB00544,Yes
3385,5-Fluorouracil,4829,Pioglitazone,CYP2C9,inhibition,Unknown,DB00544,DB01132,No
4616,Oxazepam,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB00842,DB00398,No
3899,Leflunomide,4499,Nisoldipine,CYP1A2,inhibition,Unknown,DB01097,DB00401,No
2520,Verapamil,3385,5-Fluorouracil,CYP2C9,inhibition,Unknown,DB00661,DB00544,No
2520,Verapamil,3385,5-Fluorouracil,ABCC3,transporter_inhibition,Unknown,DB00661,DB00544,No
2662,Celecoxib,2764,Ciprofloxacin,CYP3A4,inhibition,Moderate,DB00482,DB00537,No
4173,Metronidazole,5291,Imatinib,CYP3A4,inhibition,Unknown,DB00916,DB00619,No
3957,Loratadine,5426,Thalidomide,CYP2C19,induction,Unknown,DB00455,DB01041,No
3957,Loratadine,5426,Thalidomide,CYP2C19,inhibition,Unknown,DB00455,DB01041,No
2907,Cyclophosphamide,3961,Losartan,CYP3A4,inhibition,Unknown,DB00531,DB00678,No
2907,Cyclophosphamide,3961,Losartan,CYP3A4,induction,Unknown,DB00531,DB00678,No
2907,Cyclophosphamide,3961,Losartan,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00678,No
2662,Celecoxib,5002,Quetiapine,CYP2D6,inhibition,Unknown,DB00482,DB01224,No
2662,Celecoxib,4543,Nortriptyline,CYP2D6,inhibition,Moderate,DB00482,DB00540,No
3899,Leflunomide,5556,Triazolam,CYP2C9,inhibition,Unknown,DB01097,DB00897,No
2162,Amlodipine,2375,Bicalutamide,CYP3A4,inhibition,Unknown,DB00381,DB01128,No
2907,Cyclophosphamide,5394,Temozolomide,CYP3A4,inhibition,Unknown,DB00531,DB00853,No
2907,Cyclophosphamide,5394,Temozolomide,CYP3A4,induction,Unknown,DB00531,DB00853,No
2118,Alprazolam,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00404,DB01101,No
4171,Metoprolol,216239,Sorafenib,CYP2C19,inhibition,Unknown,DB00264,DB00398,No
4171,Metoprolol,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00264,DB00398,No
2375,Bicalutamide,2662,Celecoxib,CYP2D6,inhibition,Unknown,DB01128,DB00482,No
3690,Ifosfamide,5732,Zolpidem,CYP3A4,inhibition,Moderate,DB01181,DB00425,No
3690,Ifosfamide,5732,Zolpidem,CYP3A4,induction,Moderate,DB01181,DB00425,No
1983,Acetaminophen,2478,Busulfan,CYP3A4,induction,Moderate,DB00316,DB01008,Yes
1983,Acetaminophen,2478,Busulfan,CYP3A4,inhibition,Moderate,DB00316,DB01008,Yes
4679,Pantoprazole,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00213,DB01101,No
3488,Glibenclamide,3899,Leflunomide,ABCG2 (BCRP),transporter_inhibition,Moderate,DB01016,DB01097,No
3488,Glibenclamide,3899,Leflunomide,CYP2C9,inhibition,Moderate,DB01016,DB01097,No
3899,Leflunomide,4539,Norfloxacin,CYP1A2,inhibition,Unknown,DB01097,DB01059,No
4616,Oxazepam,5291,Imatinib,CYP3A4,inhibition,Unknown,DB00842,DB00619,No
3345,Fentanyl,3062316,Dasatinib,CYP3A4,inhibition,Major,DB00813,DB01254,Yes
3345,Fentanyl,3062316,Dasatinib,ABCB1 (P-gp),transporter_inhibition,Major,DB00813,DB01254,Yes
2244,Aspirin,123631,Gefitinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00945,DB00317,No
2244,Aspirin,123631,Gefitinib,CYP2C19,induction,Unknown,DB00945,DB00317,No
2244,Aspirin,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00945,DB00317,No
4212,Mitoxantrone,5453,Thiotepa,CYP3A4,inhibition,Moderate,DB01204,DB04572,No
2578,Carmustine,4595,Ondansetron,CYP1A2,inhibition,Unknown,DB00262,DB00904,No
3657,Hydroxyurea,4595,Ondansetron,CYP2D6,inhibition,Unknown,DB01005,DB00904,No
2907,Cyclophosphamide,5656,Venlafaxine,CYP3A4,inhibition,Unknown,DB00531,DB00285,No
2907,Cyclophosphamide,5656,Venlafaxine,CYP3A4,induction,Unknown,DB00531,DB00285,No
2907,Cyclophosphamide,5656,Venlafaxine,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00285,No
2662,Celecoxib,3749,Irbesartan,CYP3A4,inhibition,Moderate,DB00482,DB01029,No
2662,Celecoxib,4943,Propofol,CYP3A4,inhibition,Unknown,DB00482,DB00818,No
3825,Ketoprofen,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB01009,DB00317,No
444,Bupropion,2662,Celecoxib,CYP2D6,inhibition,Unknown,DB01156,DB00482,No
2187,Anastrozole,104741,Fulvestrant,CYP3A4,inhibition,Unknown,DB01217,DB00947,Yes
4212,Mitoxantrone,4679,Pantoprazole,CYP3A4,inhibition,Unknown,DB01204,DB00213,No
4212,Mitoxantrone,4679,Pantoprazole,ABCB1 (P-gp),transporter_inhibition,Unknown,DB01204,DB00213,No
4212,Mitoxantrone,4679,Pantoprazole,CYP3A4,induction,Unknown,DB01204,DB00213,No
4212,Mitoxantrone,4679,Pantoprazole,ABCB1 (P-gp),transporter_induction,Unknown,DB01204,DB00213,No
1983,Acetaminophen,216239,Sorafenib,CYP3A4,induction,Unknown,DB00316,DB00398,No
1983,Acetaminophen,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00316,DB00398,No
1983,Acetaminophen,216239,Sorafenib,CYP1A2,inhibition,Unknown,DB00316,DB00398,No
2802,Clonazepam,5426,Thalidomide,CYP2E1,inhibition,Moderate,DB01068,DB01041,No
2764,Ciprofloxacin,3902,Letrozole,CYP3A4,inhibition,Unknown,DB00537,DB01006,No
2662,Celecoxib,3348,Fexofenadine,CYP2D6,inhibition,Unknown,DB00482,DB00950,No
150311,Ezetimibe,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB00973,DB00398,No
150311,Ezetimibe,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00973,DB00398,No
2662,Celecoxib,3386,Fluoxetine,CYP3A4,inhibition,Moderate,DB00482,DB00472,Yes
2907,Cyclophosphamide,3902,Letrozole,CYP3A4,induction,Unknown,DB00531,DB01006,No
2907,Cyclophosphamide,3902,Letrozole,CYP2A6,inhibition,Unknown,DB00531,DB01006,No
2907,Cyclophosphamide,4205,Mirtazapine,CYP3A4,inhibition,Unknown,DB00531,DB00370,No
2907,Cyclophosphamide,4205,Mirtazapine,CYP2D6,induction,Unknown,DB00531,DB00370,No
2162,Amlodipine,3657,Hydroxyurea,CYP2D6,inhibition,Unknown,DB00381,DB01005,No
2907,Cyclophosphamide,4173,Metronidazole,CYP3A4,inhibition,Moderate,DB00531,DB00916,No
2907,Cyclophosphamide,4173,Metronidazole,CYP3A4,induction,Moderate,DB00531,DB00916,No
2662,Celecoxib,119607,Valdecoxib,CYP2C9,inhibition,Unknown,DB00482,DB00580,No
3672,"Ibuprofen, (+-)-",3690,Ifosfamide,CYP2C9,induction,Unknown,DB01050,DB01181,No
3672,"Ibuprofen, (+-)-",3690,Ifosfamide,PTGS1,inhibition,Unknown,DB01050,DB01181,No
2118,Alprazolam,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB00404,DB00531,No
2118,Alprazolam,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB00404,DB00531,No
2662,Celecoxib,3961,Losartan,CYP3A4,inhibition,Moderate,DB00482,DB00678,No
3016,Diazepam,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00829,DB01101,No
2662,Celecoxib,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00482,DB00317,No
2662,Celecoxib,3059,Diflunisal,PTGS2,inhibition,Moderate,DB00482,DB00861,Yes
3365,Fluconazole,5394,Temozolomide,CYP3A4,induction,Unknown,DB00196,DB00853,No
3365,Fluconazole,5394,Temozolomide,CYP3A4,inhibition,Unknown,DB00196,DB00853,No
2375,Bicalutamide,4917,Prochlorperazine,CYP3A4,inhibition,Moderate,DB01128,DB00433,No
3657,Hydroxyurea,3883,Lansoprazole,CYP2D6,inhibition,Unknown,DB01005,DB00448,No
3672,"Ibuprofen, (+-)-",5426,Thalidomide,CYP2C19,inhibition,Unknown,DB01050,DB01041,No
2662,Celecoxib,4205,Mirtazapine,CYP3A4,inhibition,Moderate,DB00482,DB00370,No
2662,Celecoxib,4205,Mirtazapine,CYP2D6,induction,Moderate,DB00482,DB00370,No
3488,Glibenclamide,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB01016,DB00619,No
3488,Glibenclamide,5291,Imatinib,CYP3A4,inhibition,Unknown,DB01016,DB00619,No
2478,Busulfan,5291,Imatinib,CYP3A4,inhibition,Moderate,DB01008,DB00619,No
2907,Cyclophosphamide,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00531,DB00619,Yes
2907,Cyclophosphamide,5291,Imatinib,CYP3A4,induction,Moderate,DB00531,DB00619,Yes
2907,Cyclophosphamide,5291,Imatinib,CYP3A4,inhibition,Moderate,DB00531,DB00619,Yes
2244,Aspirin,176870,Erlotinib,CYP2C8,inhibition,Unknown,DB00945,DB00530,No
2083,Salbutamol,2662,Celecoxib,CYP3A4,inhibition,Unknown,DB01001,DB00482,No
2662,Celecoxib,4168,Metoclopramide,CYP2D6,inhibition,Unknown,DB00482,DB01233,No
2662,Celecoxib,3869,Labetalol,CYP2D6,inhibition,Moderate,DB00482,DB00598,Yes
2187,Anastrozole,3883,Lansoprazole,CYP3A4,inhibition,Unknown,DB01217,DB00448,No
2187,Anastrozole,3883,Lansoprazole,CYP1A2,induction,Unknown,DB01217,DB00448,No
2662,Celecoxib,3016,Diazepam,CYP3A4,inhibition,Unknown,DB00482,DB00829,Yes
2812,Clotrimazole,5426,Thalidomide,CYP2C19,inhibition,Unknown,DB00257,DB01041,No
3899,Leflunomide,124087,Desloratadine,CYP1A2,inhibition,Unknown,DB01097,DB00967,No
2907,Cyclophosphamide,5453,Thiotepa,CYP3A4,induction,Major,DB00531,DB04572,Yes
2907,Cyclophosphamide,5453,Thiotepa,CYP2B6,inhibition,Major,DB00531,DB04572,Yes
2771,Citalopram,216239,Sorafenib,CYP3A4,inhibition,Major,DB00215,DB00398,No
3657,Hydroxyurea,4463,Nevirapine,CYP2D6,inhibition,Unknown,DB01005,DB00238,No
444,Bupropion,176870,Erlotinib,CYP2C8,inhibition,Unknown,DB01156,DB00530,No
5073,Risperidone,5394,Temozolomide,CYP3A4,inhibition,Unknown,DB00734,DB00853,No
5073,Risperidone,5394,Temozolomide,CYP3A4,induction,Unknown,DB00734,DB00853,No
2187,Anastrozole,3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",CYP2C9,inhibition,Unknown,DB01217,DB00222,No
2662,Celecoxib,4771,Phentermine,CYP2C9,induction,Unknown,DB00482,DB00191,No
2662,Celecoxib,4771,Phentermine,CYP2C9,inhibition,Unknown,DB00482,DB00191,No
2907,Cyclophosphamide,54454,Simvastatin,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00641,No
2907,Cyclophosphamide,54454,Simvastatin,CYP3A4,induction,Unknown,DB00531,DB00641,No
2907,Cyclophosphamide,54454,Simvastatin,CYP3A4,inhibition,Unknown,DB00531,DB00641,No
60198,Exemestane,150311,Ezetimibe,CYP3A4,inhibition,Unknown,DB00990,DB00973,No
4409,Nabumetone,216326,Lenalidomide,PTGS2,inhibition,Unknown,DB00461,DB00480,No
5291,Imatinib,65999,Telmisartan,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00619,DB00966,No
5291,Imatinib,65999,Telmisartan,CYP2C19,inhibition,Unknown,DB00619,DB00966,No
5426,Thalidomide,5732,Zolpidem,CYP3A5,induction,Moderate,DB01041,DB00425,No
5426,Thalidomide,5732,Zolpidem,CYP2C19,inhibition,Moderate,DB01041,DB00425,No
2662,Celecoxib,5472,Ticlopidine,CYP3A4,inhibition,Moderate,DB00482,DB00208,No
1983,Acetaminophen,5291,Imatinib,CYP3A4,induction,Moderate,DB00316,DB00619,Yes
1983,Acetaminophen,5291,Imatinib,CYP3A4,inhibition,Moderate,DB00316,DB00619,Yes
1983,Acetaminophen,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00316,DB00619,Yes
2771,Citalopram,123631,Gefitinib,CYP2C19,inhibition,Unknown,DB00215,DB00317,No
2907,Cyclophosphamide,4616,Oxazepam,CYP3A4,induction,Unknown,DB00531,DB00842,No
2907,Cyclophosphamide,4616,Oxazepam,CYP3A4,inhibition,Unknown,DB00531,DB00842,No
2662,Celecoxib,123606,Almotriptan,CYP2D6,inhibition,Unknown,DB00482,DB00918,No
54454,Simvastatin,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB00641,DB00398,No
54454,Simvastatin,216239,Sorafenib,CYP3A4,induction,Unknown,DB00641,DB00398,No
54454,Simvastatin,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00641,DB00398,No
2907,Cyclophosphamide,4634,Oxybutynin,CYP3A4,inhibition,Unknown,DB00531,DB01062,No
2907,Cyclophosphamide,4634,Oxybutynin,CYP3A4,induction,Unknown,DB00531,DB01062,No
3016,Diazepam,104741,Fulvestrant,CYP3A4,inhibition,Unknown,DB00829,DB00947,No
4171,Metoprolol,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB00264,DB01041,No
5002,Quetiapine,5426,Thalidomide,CYP3A5,induction,Moderate,DB01224,DB01041,No
5002,Quetiapine,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB01224,DB01041,No
2895,Cyclobenzaprine,123631,Gefitinib,CYP2D6,inhibition,Unknown,DB00924,DB00317,No
2771,Citalopram,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB00215,DB00531,No
2771,Citalopram,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB00215,DB00531,No
2083,Salbutamol,176870,Erlotinib,CYP3A4,inhibition,Unknown,DB01001,DB00530,No
2083,Salbutamol,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB01001,DB00531,No
2083,Salbutamol,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB01001,DB00531,No
41781,Torasemide,216239,Sorafenib,CYP2C9,inhibition,Unknown,DB00214,DB00398,No
2662,Celecoxib,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB00482,DB00531,Yes
2662,Celecoxib,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB00482,DB00531,Yes
3672,"Ibuprofen, (+-)-",216326,Lenalidomide,PTGS2,inhibition,Unknown,DB01050,DB00480,No
4168,Metoclopramide,123631,Gefitinib,CYP2D6,inhibition,Unknown,DB01233,DB00317,No
3961,Losartan,5426,Thalidomide,CYP3A5,induction,Unknown,DB00678,DB01041,No
3961,Losartan,5426,Thalidomide,CYP2C19,inhibition,Unknown,DB00678,DB01041,No
2662,Celecoxib,2719,Chloroquine,CYP2D6,inhibition,Moderate,DB00482,DB00608,No
2375,Bicalutamide,3672,"Ibuprofen, (+-)-",CYP2C9,inhibition,Unknown,DB01128,DB01050,No
3365,Fluconazole,176870,Erlotinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00196,DB00530,No
3365,Fluconazole,176870,Erlotinib,CYP3A4,inhibition,Unknown,DB00196,DB00530,No
2187,Anastrozole,5035,Raloxifene,CYP3A4,inhibition,Unknown,DB01217,DB00481,No
444,Bupropion,2187,Anastrozole,CYP1A2,inhibition,Unknown,DB01156,DB01217,No
4595,Ondansetron,5291,Imatinib,CYP3A4,inhibition,Moderate,DB00904,DB00619,No
2907,Cyclophosphamide,123631,Gefitinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00317,No
2907,Cyclophosphamide,123631,Gefitinib,CYP3A4,induction,Unknown,DB00531,DB00317,No
2907,Cyclophosphamide,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00531,DB00317,No
2764,Ciprofloxacin,3385,5-Fluorouracil,CYP1A2,inhibition,Minor,DB00537,DB00544,No
2375,Bicalutamide,27661,Isosorbide Mononitrate,CYP3A4,inhibition,Unknown,DB01128,DB01020,No
2907,Cyclophosphamide,4946,Propranolol,CYP3A4,induction,Unknown,DB00531,DB00571,No
2907,Cyclophosphamide,4946,Propranolol,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00571,No
2907,Cyclophosphamide,4946,Propranolol,CYP2D6,inhibition,Unknown,DB00531,DB00571,No
2083,Salbutamol,3902,Letrozole,CYP3A4,inhibition,Unknown,DB01001,DB01006,No
5291,Imatinib,5391,Temazepam,CYP3A4,inhibition,Unknown,DB00619,DB00231,No
4212,Mitoxantrone,54454,Simvastatin,ABCB1 (P-gp),transporter_induction,Unknown,DB01204,DB00641,No
4212,Mitoxantrone,54454,Simvastatin,ABCB1 (P-gp),transporter_inhibition,Unknown,DB01204,DB00641,No
4212,Mitoxantrone,54454,Simvastatin,CYP3A4,induction,Unknown,DB01204,DB00641,No
4212,Mitoxantrone,54454,Simvastatin,CYP3A4,inhibition,Unknown,DB01204,DB00641,No
3559,Haloperidol,123631,Gefitinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00502,DB00317,No
3559,Haloperidol,123631,Gefitinib,CYP2D6,induction,Unknown,DB00502,DB00317,No
3559,Haloperidol,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00502,DB00317,No
1983,Acetaminophen,3657,Hydroxyurea,CYP2D6,inhibition,Unknown,DB00316,DB01005,No
3883,Lansoprazole,104741,Fulvestrant,CYP3A4,induction,Unknown,DB00448,DB00947,No
3883,Lansoprazole,104741,Fulvestrant,CYP3A4,inhibition,Unknown,DB00448,DB00947,No
2764,Ciprofloxacin,4212,Mitoxantrone,CYP3A4,inhibition,Minor,DB00537,DB01204,No
2764,Ciprofloxacin,4212,Mitoxantrone,ABCB1 (P-gp),transporter_induction,Minor,DB00537,DB01204,No
2764,Ciprofloxacin,4212,Mitoxantrone,ABCB1 (P-gp),transporter_inhibition,Minor,DB00537,DB01204,No
3899,Leflunomide,3957,Loratadine,CYP2C9,inhibition,Unknown,DB01097,DB00455,No
3899,Leflunomide,4829,Pioglitazone,CYP2C9,inhibition,Major,DB01097,DB01132,No
3345,Fentanyl,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB00813,DB00398,No
3345,Fentanyl,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00813,DB00398,No
3157,Doxazosin,216239,Sorafenib,CYP2C19,inhibition,Unknown,DB00590,DB00398,No
3157,Doxazosin,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00590,DB00398,No
4034,Meclizine,5426,Thalidomide,CYP1A2,inhibition,Moderate,DB00737,DB01041,No
3385,5-Fluorouracil,3478,Glipizide,CYP2C9,inhibition,Unknown,DB00544,DB01067,No
2520,Verapamil,123631,Gefitinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00661,DB00317,No
2520,Verapamil,123631,Gefitinib,ABCB1 (P-gp),transporter_induction,Moderate,DB00661,DB00317,No
2520,Verapamil,123631,Gefitinib,CYP2C9,inhibition,Moderate,DB00661,DB00317,No
2907,Cyclophosphamide,4485,Nifedipine,ABCB1 (P-gp),transporter_induction,Unknown,DB00531,DB01115,No
2907,Cyclophosphamide,4485,Nifedipine,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB01115,No
2907,Cyclophosphamide,4485,Nifedipine,CYP3A4,induction,Unknown,DB00531,DB01115,No
2907,Cyclophosphamide,4485,Nifedipine,CYP3A4,inhibition,Unknown,DB00531,DB01115,No
2907,Cyclophosphamide,3324,Famciclovir,CYP3A4,induction,Unknown,DB00531,DB00426,No
2907,Cyclophosphamide,3324,Famciclovir,CYP3A4,inhibition,Unknown,DB00531,DB00426,No
5291,Imatinib,3062316,Dasatinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00619,DB01254,Yes
5291,Imatinib,3062316,Dasatinib,CYP3A4,inhibition,Moderate,DB00619,DB01254,Yes
3016,Diazepam,3385,5-Fluorouracil,CYP2C9,inhibition,Unknown,DB00829,DB00544,No
2520,Verapamil,3899,Leflunomide,ABCG2 (BCRP),transporter_inhibition,Unknown,DB00661,DB01097,No
2520,Verapamil,3899,Leflunomide,CYP2C9,inhibition,Unknown,DB00661,DB01097,No
3961,Losartan,104741,Fulvestrant,CYP3A4,inhibition,Unknown,DB00678,DB00947,No
3345,Fentanyl,60198,Exemestane,CYP3A4,inhibition,Unknown,DB00813,DB00990,No
3385,5-Fluorouracil,4927,Promethazine,CYP2C9,inhibition,Unknown,DB00544,DB01069,No
2187,Anastrozole,54454,Simvastatin,CYP3A4,induction,Unknown,DB01217,DB00641,No
2187,Anastrozole,54454,Simvastatin,CYP3A4,inhibition,Unknown,DB01217,DB00641,No
2771,Citalopram,3657,Hydroxyurea,CYP2D6,inhibition,Unknown,DB00215,DB01005,No
3385,5-Fluorouracil,123631,Gefitinib,ABCG2 (BCRP),transporter_inhibition,Unknown,DB00544,DB00317,Yes
3385,5-Fluorouracil,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00544,DB00317,Yes
2187,Anastrozole,2802,Clonazepam,CYP3A4,inhibition,Unknown,DB01217,DB01068,No
3365,Fluconazole,4212,Mitoxantrone,CYP3A4,inhibition,Unknown,DB00196,DB01204,No
3365,Fluconazole,4212,Mitoxantrone,ABCB1 (P-gp),transporter_induction,Unknown,DB00196,DB01204,No
3365,Fluconazole,4212,Mitoxantrone,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00196,DB01204,No
2662,Celecoxib,216326,Lenalidomide,PTGS2,inhibition,Unknown,DB00482,DB00480,No
2662,Celecoxib,3696,Imipramine,CYP2D6,inhibition,Moderate,DB00482,DB00458,No
3715,Indomethacin,216326,Lenalidomide,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00328,DB00480,No
3715,Indomethacin,216326,Lenalidomide,PTGS2,inhibition,Unknown,DB00328,DB00480,No
3157,Doxazosin,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB00590,DB01041,No
2375,Bicalutamide,5090,Rofecoxib,CYP3A4,induction,Unknown,DB01128,DB00533,No
2375,Bicalutamide,5090,Rofecoxib,CYP3A4,inhibition,Unknown,DB01128,DB00533,No
2662,Celecoxib,3394,Flurbiprofen,ABCC4 (MRP4),transporter_inhibition,Moderate,DB00482,DB00712,No
2662,Celecoxib,3394,Flurbiprofen,PTGS2,inhibition,Moderate,DB00482,DB00712,No
2160,Amitriptyline,2662,Celecoxib,CYP2D6,inhibition,Moderate,DB00321,DB00482,No
444,Bupropion,216239,Sorafenib,CYP1A2,inhibition,Unknown,DB01156,DB00398,No
3899,Leflunomide,4679,Pantoprazole,CYP1A2,induction,Unknown,DB01097,DB00213,No
3899,Leflunomide,4679,Pantoprazole,CYP2C9,inhibition,Unknown,DB01097,DB00213,No
3899,Leflunomide,4679,Pantoprazole,ABCG2 (BCRP),transporter_inhibition,Unknown,DB01097,DB00213,No
4829,Pioglitazone,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB01132,DB00398,No
4829,Pioglitazone,216239,Sorafenib,CYP3A4,induction,Unknown,DB01132,DB00398,No
2662,Celecoxib,5533,Trazodone,CYP2D6,inhibition,Moderate,DB00482,DB00656,No
2907,Cyclophosphamide,4917,Prochlorperazine,CYP3A4,induction,Unknown,DB00531,DB00433,No
2907,Cyclophosphamide,4917,Prochlorperazine,CYP3A4,inhibition,Unknown,DB00531,DB00433,No
3657,Hydroxyurea,5073,Risperidone,CYP2D6,inhibition,Unknown,DB01005,DB00734,No
2187,Anastrozole,2803,Clonidine,CYP1A2,inhibition,Unknown,DB01217,DB00575,No
2162,Amlodipine,123631,Gefitinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00381,DB00317,No
2162,Amlodipine,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00381,DB00317,No
2662,Celecoxib,4409,Nabumetone,PTGS2,inhibition,Moderate,DB00482,DB00461,No
4595,Ondansetron,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00904,DB01101,No
2907,Cyclophosphamide,4212,Mitoxantrone,ABCB1 (P-gp),transporter_induction,Moderate,DB00531,DB01204,Yes
2907,Cyclophosphamide,4212,Mitoxantrone,CYP3A4,inhibition,Moderate,DB00531,DB01204,Yes
2907,Cyclophosphamide,4212,Mitoxantrone,CYP3A4,induction,Moderate,DB00531,DB01204,Yes
2907,Cyclophosphamide,4212,Mitoxantrone,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00531,DB01204,Yes
4485,Nifedipine,5426,Thalidomide,CYP3A5,induction,Moderate,DB01115,DB01041,No
4485,Nifedipine,5426,Thalidomide,CYP1A2,inhibition,Moderate,DB01115,DB01041,No
