CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",5291,Imatinib,CYP2C9,P11712,induction,Moderate
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
2554,Carbamazepine,123631,Gefitinib,CYP3A4,P08684,induction,Moderate
2554,Carbamazepine,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2554,Carbamazepine,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_induction,Moderate
2554,Carbamazepine,123631,Gefitinib,CYP2C9,P11712,inhibition,Moderate
4236,Modafinil,5291,Imatinib,CYP1A2,P05177,induction,Minor
4236,Modafinil,5291,Imatinib,CYP3A4,P08684,inhibition,Minor
4691,"3-(1,3-Benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",176870,Erlotinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4691,"3-(1,3-Benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",176870,Erlotinib,CYP2C8,P10632,inhibition,Unknown
3152,Donepezil,5291,Imatinib,CYP3A4,P08684,inhibition,Minor
3333,Felodipine,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3333,Felodipine,123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
3385,5-Fluorouracil,5426,Thalidomide,CYP2C9,P11712,inhibition,Major
2520,Verapamil,176870,Erlotinib,CYP2C8,P10632,inhibition,Moderate
2520,Verapamil,176870,Erlotinib,ABCB1 (P-gp),P08183,transporter_induction,Moderate
2520,Verapamil,176870,Erlotinib,ABCG2 (BCRP),Q9UNQ0,transporter_inhibition,Moderate
2554,Carbamazepine,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_induction,Major
2554,Carbamazepine,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Major
2554,Carbamazepine,5291,Imatinib,CYP3A4,P08684,inhibition,Major
2554,Carbamazepine,5291,Imatinib,CYP1A2,P05177,induction,Major
4212,Mitoxantrone,4829,Pioglitazone,CYP3A4,P08684,inhibition,Unknown
4212,Mitoxantrone,4829,Pioglitazone,CYP3A4,P08684,induction,Unknown
4212,Mitoxantrone,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
4236,Modafinil,5426,Thalidomide,CYP3A5,P20815,induction,Unknown
4236,Modafinil,5426,Thalidomide,CYP2C19,P33261,inhibition,Unknown
2764,Ciprofloxacin,3690,Ifosfamide,CYP3A4,P08684,inhibition,Minor
2764,Ciprofloxacin,3690,Ifosfamide,CYP3A4,P08684,induction,Minor
