enzyme,HPO,AE_name,observed,expected,log2FE,p,q
CYP1A2,HP:0001094,Iridocyclitis,22,12.2,0.85,0.0050796548010855975,0.045871181790177185
CYP2C19,HP:0011079,Impacted tooth,49,16.9,1.54,5.421058247021212e-11,1.0476195062368492e-08
CYP2C19,HP:0000805,Enuresis,60,25.4,1.24,1.5941542182749563e-09,2.0538020178775686e-07
CYP2C19,HP:0001915,Aplastic anemia,81,42.2,0.94,3.6949187773174115e-08,3.104535016159086e-06
CYP2C19,HP:0002123,Generalized myoclonic seizure,34,12.4,1.45,1.6756227315379287e-07,1.1034766094572752e-05
CYP2C19,HP:0006739,Squamous cell carcinoma of the skin,45,21.2,1.08,2.9651865436443303e-06,0.00012876905608073412
CYP2C19,HP:0003763,Bruxism,287,220.9,0.38,7.798309052996765e-06,0.0002870520427603095
CYP2C19,HP:0002591,Polyphagia,160,112.3,0.51,9.056386477331206e-06,0.0003188063029934838
CYP2C19,HP:0010550,Paraplegia,62,34.3,0.85,9.178768705985231e-06,0.00031960307251020645
CYP2C19,HP:0000709,Psychosis,175,126.1,0.47,1.5304838232270705e-05,0.0005055829039976604
CYP2C19,HP:0007302,Bipolar affective disorder,154,108.7,0.5,1.6899060951239456e-05,0.0005488644586263908
CYP2C19,HP:0002607,Bowel incontinence,157,113.7,0.47,5.048455072031123e-05,0.0013364574557123488
CYP2C19,HP:0002020,Gastroesophageal reflux,358,290.9,0.3,5.704156561894193e-05,0.0014504319152448062
CYP2C19,HP:0000651,Diplopia,188,140.9,0.42,6.448203331433478e-05,0.001590122064226614
CYP2C19,HP:0002301,Hemiplegia,105,71.3,0.56,8.035870394620129e-05,0.0019411649422004247
CYP2C19,HP:0002592,Gastric ulcer,180,134.6,0.42,8.139095582785722e-05,0.0019538884737557026
CYP2C19,HP:0001297,Stroke,371,305.8,0.28,0.0001222105898434565,0.0026096349709666265
CYP2C19,HP:0001609,Hoarse voice,61,37.7,0.69,0.0002343609520010213,0.004354832112903593
CYP2C19,HP:0000508,Ptosis,72,46.9,0.62,0.0003130472074938487,0.005474784873139028
CYP2C19,HP:0001618,Dysphonia,166,126.6,0.39,0.00036015869093071283,0.00612578144087263
CYP2C19,HP:0005978,Type II diabetes mellitus,286,233.5,0.29,0.0003843753728890972,0.006376012086765496
CYP2C19,HP:0000518,Cataract,190,148.7,0.35,0.0005003084596017977,0.00786053738358109
CYP2C19,HP:0100273,Neoplasm of the colon,23,10.8,1.1,0.0006104877960981407,0.009110175026715498
CYP2C19,HP:0004324,Increased body weight,386,327.3,0.24,0.0006740764199858883,0.009906104042758396
CYP2C19,HP:0012076,Borderline personality disorder,30,15.8,0.93,0.000711238952426477,0.010373353023125788
CYP2C19,HP:0001386,Joint swelling,220,176.7,0.32,0.0007483430335664258,0.010752214961837307
CYP2C19,HP:0002133,Status epilepticus,65,43.3,0.59,0.0009940209975998193,0.013247900536976902
CYP2C19,HP:0100786,Excessive daytime somnolence,150,115.7,0.37,0.0010435903005561922,0.013724503732803343
CYP2C19,HP:0100546,Carotid artery stenosis,153,118.5,0.37,0.0010752387986811263,0.014087450701364586
CYP2C19,HP:0001997,Gout,155,120.5,0.36,0.0011630269235678007,0.014786510064439309
CYP2C19,HP:0005547,Myeloproliferative disorder,32,17.9,0.84,0.0013540939317700012,0.0167742725842662
CYP2C19,HP:0030166,Night sweats,196,157.6,0.31,0.001433728623829644,0.017591622638417695
CYP2C19,HP:0100785,Insomnia,345,293.3,0.23,0.001449616079669856,0.017730272620012637
CYP2C19,HP:0011704,Sick sinus syndrome,83,59.0,0.49,0.0014919454092358964,0.017963766376002305
CYP2C19,HP:0001337,Tremor,331,282.9,0.23,0.002379758917504039,0.026563775623880622
CYP2C19,HP:0000622,Blurred vision,312,265.5,0.23,0.002459686214786385,0.027239791461746068
CYP2C19,HP:0010450,Esophageal stenosis,46,29.6,0.64,0.0026011933335398007,0.02856139839241855
